seq_len,d_model,nhead,window_size,batch_size,device,avg_time_s,min_time_s,max_time_s,std_time_s,memory_mb,tokens_per_sec,total_tokens,success,error
1024,768,16,16,2,cuda,0.004329601923624675,0.004319667816162109,0.004337787628173828,7.499981395342526e-06,449.015625,473022.70188513,2048,True,
1024,768,16,64,2,cuda,0.004330078760782878,0.004324913024902344,0.004339456558227539,6.64252398617009e-06,450.515625,472970.6116545838,2048,True,
1024,768,16,256,2,cuda,0.004327615102132161,0.004322052001953125,0.00433349609375,4.677435229480159e-06,450.765625,473239.8680721343,2048,True,
1024,768,16,1024,2,cuda,0.004330158233642578,0.0043222904205322266,0.004342317581176758,8.721037463270132e-06,451.515625,472961.9310648607,2048,True,
1024,1024,8,16,2,cuda,0.00574946403503418,0.0057413578033447266,0.005757808685302734,6.718160058787046e-06,389.982421875,356207.1155712212,2048,True,
1024,1024,8,64,2,cuda,0.005743980407714844,0.005738258361816406,0.0057485103607177734,4.269401556194081e-06,326.94921875,356547.17715424206,2048,True,
1024,1024,8,256,2,cuda,0.005740722020467122,0.005738258361816406,0.0057446956634521484,2.8366356368978416e-06,326.94921875,356749.5504395376,2048,True,
1024,1024,8,1024,2,cuda,0.005739927291870117,0.005736112594604492,0.0057468414306640625,4.897746702235732e-06,327.94921875,356798.94463136035,2048,True,
1024,1024,16,16,2,cuda,0.006506443023681641,0.0065004825592041016,0.00651097297668457,4.400529289216083e-06,459.015625,314764.9172590693,2048,True,
1024,1024,16,64,2,cuda,0.006507714589436849,0.0065038204193115234,0.0065119266510009766,3.3169804818962744e-06,459.015625,314703.41420999926,2048,True,
1024,1024,16,256,2,cuda,0.006496985753377278,0.00648808479309082,0.006505489349365234,7.110933767403773e-06,459.015625,315223.1015645069,2048,True,
1024,1024,16,1024,2,cuda,0.006506284077962239,0.006493568420410156,0.006512880325317383,8.993434777853277e-06,459.015625,314772.60683050763,2048,True,
2048,256,8,16,2,cuda,0.005020936330159505,0.00501251220703125,0.005029439926147461,6.910940870383474e-06,864.03125,815784.094969768,4096,True,
2048,256,8,64,2,cuda,0.0050353209177653,0.005030155181884766,0.0050432682037353516,5.703250604632427e-06,996.130859375,813453.6143562872,4096,True,
2048,256,8,256,2,cuda,0.005023399988810222,0.00500941276550293,0.0050432682037353516,1.4433461614922194e-05,996.130859375,815384.0046828773,4096,True,
2048,256,8,1024,2,cuda,0.004987955093383789,0.004976034164428711,0.005002737045288086,1.1087532060365859e-05,996.130859375,821178.2029539697,4096,True,
2048,256,16,16,2,cuda,0.008588155110677084,0.008575439453125,0.008605480194091797,1.2689802587008205e-05,1696.03125,476935.95972756884,4096,True,
2048,256,16,64,2,cuda,0.008605559666951498,0.008587837219238281,0.008633613586425781,2.0065283946549926e-05,1696.03125,475971.3671767498,4096,True,
2048,256,16,256,2,cuda,0.00859673817952474,0.008585453033447266,0.008604288101196289,8.130349328269404e-06,1696.03125,476459.7821247642,4096,True,
2048,256,16,1024,2,cuda,0.008513847986857096,0.008508443832397461,0.008517026901245117,3.841096869657698e-06,1696.03125,481098.5592323274,4096,True,
2048,512,8,16,2,cuda,0.006953636805216472,0.006948947906494141,0.006959438323974609,4.354358524259798e-06,884.03125,589044.2821125295,4096,True,
2048,512,8,64,2,cuda,0.006974458694458008,0.00697016716003418,0.006979227066040039,3.714027864312465e-06,884.03125,587285.7205756675,4096,True,
2048,512,8,256,2,cuda,0.006966431935628255,0.00696253776550293,0.006974220275878906,5.507188205423487e-06,884.03125,587962.3942138767,4096,True,
2048,512,8,1024,2,cuda,0.0069417158762613935,0.006923675537109375,0.00696873664855957,1.9461279092961356e-05,884.03125,590055.8410935693,4096,True,
2048,512,16,16,2,cuda,0.01035451889038086,0.010340452194213867,0.010369300842285156,1.1788265831257312e-05,1716.03125,395576.08068155654,4096,True,
2048,512,16,64,2,cuda,0.010371526082356771,0.010357141494750977,0.010390520095825195,1.401113503623154e-05,1716.03125,394927.41641635506,4096,True,
2048,512,16,256,2,cuda,0.01036691665649414,0.010354757308959961,0.010378122329711914,9.562536961536576e-06,1716.03125,395103.01237293595,4096,True,
2048,512,16,1024,2,cuda,0.010301510492960611,0.01028585433959961,0.01031041145324707,1.1105176954296473e-05,1716.03125,397611.5932511977,4096,True,
2048,768,8,16,2,cuda,0.009232759475708008,0.009230613708496094,0.00923466682434082,1.6632437337602258e-06,1665.998046875,443637.6806714009,4096,True,
2048,768,8,64,2,cuda,0.00944979985555013,0.00924992561340332,0.009700298309326172,0.00018731613102011133,1615.96484375,433448.33357442013,4096,True,
2048,768,8,256,2,cuda,0.009226640065511068,0.009223699569702148,0.009232521057128906,4.158489053074878e-06,904.78125,443931.9157263691,4096,True,
2048,768,8,1024,2,cuda,0.0092010498046875,0.009198904037475586,0.009204626083374023,2.5456138258055e-06,904.78125,445166.5936981758,4096,True,
2048,768,16,16,2,cuda,0.012664874394734701,0.01265406608581543,0.012683868408203125,1.3473404027924973e-05,1736.03125,323414.18259172566,4096,True,
