word_raw,count
flashlight,22
punch,99
storytellers,17
hate,109
mobile,20
liner,3
floppy,262
costello,5
kent,146
paying,34
friend,498
nurse,165
manatee,33
jenny,63
sandy,75
dora,85
ropes,10
vacuum,55
warwick,1
fact,59
places,78
crib,119
coat,156
crazy,134
needed,67
herself,91
hippo,161
crashed,69
eh,130
dirty,767
awhile,56
beautiful,663
soft,198
circle,439
spanked,10
sandwich,365
dressed,190
gordon,72
rooster,133
hush,28
meat,251
antler,2
keeping,37
hairy,28
hamburger,111
soap,140
toaster,19
rocking,179
church,138
real,823
every,490
wins,9
drips,11
nickname,6
rocky,58
visit,179
seven,561
antique,5
felt,281
yuck,135
cucumbers,30
seeds,148
glasses,231
crocodile,99
logs,50
hiding,281
couple,335
telly,14
r,171
elmo,302
bus,762
closed,236
tie,215
vitamin,21
stay,1097
d,370
annie,93
guaranteed,2
maple,34
screaming,45
backpack,462
treat,62
mill,17
popcorn,114
family,139
wind,256
grand,48
river,153
group,80
suit,113
everyday,95
rattle,54
bout,311
oats,10
ring,357
washed,99
apart,233
curious,31
mister,276
beans,268
uhh,7
works,283
chris,62
themselves,82
tall,402
parrot,78
brother,291
bathroom,108
job,575
potato,282
grilled,15
rub,98
advanced,1
days,241
quickly,120
sunny,115
stream,18
soccer,48
hanging,123
junky,10
rhymes,37
hatt,15
gymboree,27
cost,26
naw,15
weeks,369
covers,56
sludge,19
hammer,266
wear,623
tweedle,22
active,4
talked,96
body,156
dumping,16
gets,503
flash,40
beginning,94
pasta,52
taught,95
yack,19
crackers,134
somehow,19
jean,35
shirt,587
hyenas,33
moving,208
bathtub,41
gulp,18
momma,131
suffocate,3
foundation,8
cockpit,5
least,104
smart,252
wears,92
thirty,250
sausage,219
prince,137
games,147
dollhouse,16
fat,451
mixed,84
several,31
loud,237
rug,222
knocking,37
trains,140
toast,243
oven,126
fox,173
fuzz,56
tire,110
sung,3
scar,69
dreaming,40
angels,18
since,192
bess,7
ha,449
basement,33
worst,9
takes,210
speak,95
gobble,75
slept,66
cowboy,178
hick,6
choice,66
curl,14
hospital,163
began,135
mousse,14
dance,267
bowl,559
iron,78
carol,55
cleaned,58
stan,37
moustache,23
sick,245
jamie,123
tortilla,20
pregnant,11
aimee,30
kitty,886
pile,88
tickles,58
kevin,29
wee,466
loop,41
purples,2
lick,87
share,166
hugs,26
missed,214
hickory,4
cute,466
depot,6
younger,24
surprise,210
bobo,53
woods,68
sword,57
awesome,38
bumper,54
cutest,7
flavor,60
poop,61
neck,329
collected,6
bigger,418
military,3
jammed,2
sulfur,2
lego,101
needle,25
during,101
cutting,105
snap,328
barnes,35
f,162
noodle,76
already,676
grapefruits,2
fifty,165
covered,84
joyce,19
stamps,31
wisconsin,17
heh,138
telephones,38
hug,254
millions,109
boobs,2
broccoli,126
isabelle,32
pencils,57
journey,114
dominoes,20
groaned,6
veggies,7
gloves,49
act,38
computers,4
necessarily,13
tad,12
added,27
phones,38
bumped,76
honk,57
poo,54
fair,103
cry,245
pour,298
breast,20
dad,348
balloon,631
silliest,11
bedtime,64
lair,6
spells,130
walking,364
grasshoppers,23
hilda,112
reports,1
crater,5
woke,100
christa,53
chew,254
roof,120
hid,51
full,396
dots,42
scare,70
policeman,71
stands,33
rainbow,120
beside,90
tablecloth,34
windshield,15
smiling,70
paris,40
warm,442
funs,2
sticker,89
backwards,157
carrying,117
waffle,43
soggy,115
kayak,2
moment,80
itch,35
stars,253
gates,10
closer,282
cucumber,27
hook,160
sam,261
banbury,4
puppets,77
true,279
adios,6
pox,6
bible,15
digging,46
tripod,81
fresh,160
few,412
