word_raw,count
cat,1653
wedding,49
middle,247
spider,266
player,56
scissors,158
horse,498
joking,21
comb,170
kicking,41
herself,91
need,2646
best,381
building,281
minute,1382
noises,66
black,632
barbara,53
fell,879
morning,1249
yours,568
train,1083
grape,114
alaska,21
began,135
nope,491
keep,1192
harold,91
puppies,84
sauce,119
hen,133
beyond,24
guitar,56
allow,4
faint,8
seat,278
wet,476
build,533
pieces,509
needs,449
wear,623
pickle,243
tasty,113
couple,335
state,174
confrontation,1
breast,20
gear,17
hand,1320
tv,434
biscuit,65
again,2473
seven,561
quack,398
video,44
toes,305
dishes,253
okey,44
doughnuts,42
almost,825
wearing,391
mary,122
rolling,180
lost,411
anymore,686
bottom,314
space,484
animal,324
ringers,1
gone,526
everyday,95
side,692
thumb,98
high,455
lullabies,4
shop,141
afternoons,6
soft,198
holding,267
cup,1108
teddy,350
tadpoles,3
twinkle,88
leave,1104
until,740
eight,476
appropriate,6
arms,212
talked,96
save,153
eggs,426
puppets,77
friday,340
yourself,664
colors,478
everything,780
backdrop,1
schoolbus,20
stove,114
ruby,147
movie,290
cinema,3
stamp,43
upon,108
broomstick,1
brakes,21
coat,156
fine,420
damaging,1
act,38
heh,138
starfish,61
trains,140
planting,16
polka,17
brush,418
bah,41
gets,503
doll,315
moo,209
cool,300
star,351
master,21
chefs,4
ran,360
dan,35
between,213
ex,7
sticky,288
won,86
whisked,5
five,1187
anne,72
wild,148
students,20
rough,100
finger,500
tower,276
guys,450
country,99
chef,13
ema,34
ferry,12
early,180
tall,402
f,162
suitcases,8
lena,1
already,676
fried,16
clean,901
blooming,2
lisa,84
dried,42
catch,612
walk,793
another,2805
sad,276
urchin,18
dunno,66
orange,993
erica,21
knight,13
sleep,820
learned,73
happen,355
drain,127
tahoe,33
loves,298
lady,419
wheels,299
june,372
huge,150
cardboard,37
squeeze,111
pumpkins,31
jammed,2
ketchup,97
squishy,87
wyoming,19
avocado,54
pears,256
hurry,284
trunks,175
pinocchio,51
ha,449
alley,106
lava,2
alligator,153
snowman,129
singing,182
dangerous,63
mic,20
sandals,18
bus,762
k,144
together,1066
picked,195
later,898
mango,11
poop,61
purple,556
off,3937
bench,51
day,1917
doggy,146
fill,94
bags,52
thirty,250
closer,282
chug,224
wine,35
states,50
talking,709
cake,856
than,1030
smaller,147
looking,1179
clip,188
hours,60
bend,49
anthony,25
full,396
italian,29
microwave,62
sky,336
diapers,69
hum,65
cross,82
dries,18
buy,591
world,174
sweets,166
ahead,863
bucket,162
stays,90
scared,410
fun,857
pancakes,154
circles,85
even,1139
ask,756
actually,564
hits,24
amelia,19
makes,597
class,248
am,893
fifty,165
beans,268
made,1374
upset,66
ethan,763
pages,137
washed,99
pull,987
dig,146
clipper,8
yet,740
pulled,128
peace,15
eddie,40
thick,47
eaten,74
aw,388
lives,334
newspapers,8
bingo,13
certain,43
lie,149
past,321
soup,406
elephants,912
bangs,14
cereal,306
grad,1
exciting,128
pole,74
due,13
phone,696
dad,348
curved,13
piano,76
nose,1133
beauty,54
trying,682
cute,466
cry,245
race,137
wee,466
woo,451
crayon,407
kate,67
tiny,531
books,697
exactly,182
yawning,46
sturdy,12
leg,296
finish,703
klunk,12
journey,114
favorite,593
earth,115
might,951
roads,17
lucky,142
stores,26
daisy,197
loud,237
inside,1102
regular,91
numbers,148
birdie,75
whoop,259
plums,270
present,230
bump,430
el,80
wide,127
dialing,15
wheelbarrow,21
holes,260
john,162
word,449
stool,148
spits,2
fuzz,56
interesting,191
wise,27
oatmeal,205
cane,25
ham,81
truck,1164
road,264
knock,275
river,153
points,57
cows,161
tennis,59
band,64
sharp,113
heard,391
lil,385
rained,125
potty,253
fields,21
flew,487
jumped,216
wife,59
treasure,22
guy,517
outfit,24
chickens,109
showed,96
dish,184
bleep,85
indian,70
peter,184
pickles,46
bagel,28
slave,8
hands,831
bottle,529
graham,56
doorway,12
father,226
hon,120
scrambled,38
swipe,12
clips,18
bug,309
smooth,112
uncle,303
clouds,260
share,166
football,243
tractors,10
le,9
tractor,178
doorman,12
dip,83
spin,140
strain,6
texas,101
usually,283
farther,17
scarf,49
laugh,106
curious,31
dry,437
funny,1211
chest,97
huey,28
report,50
beard,62
castle,129
sis,614
pool,171
sliding,44
cracks,8
bark,153
jane,80
sandwich,365
bigger,418
calf,163
grow,237
saturday,338
writing,179
each,359
crayons,515
near,294
toot,241
squirrel,105
bat,120
running,295
tender,29
shoe,391
check,249
yoga,17
stuff,942
cook,353
jackie,24
clock,268
rubbers,4
suit,113
stories,134
tools,91
cups,265
lot,981
yucky,177
legs,346
nest,120
clapped,6
used,543
extra,102
mess,354
